step,time,uav0_x,uav0_y,uav0_yaw,uav0_state,uav0_min_obs_dist,uav0_path_length,uav1_x,uav1_y,uav1_yaw,uav1_state,uav1_min_obs_dist,uav1_path_length,uav2_x,uav2_y,uav2_yaw,uav2_state,uav2_min_obs_dist,uav2_path_length,coverage,min_inter_uav_dist,replan_count,collision_flag
33,6.6000000000000005,6.25,14.65,1.571,explore,15.74,0.0,10.06,58.06,0.785,explore,23.66,0.0,7.12,79.61,-0.521,explore,3.10,0.0,0.1641,27.88,35,0
34,6.800000000000001,6.66,15.09,0.818,explore,15.58,0.0,10.66,58.13,0.113,explore,23.19,0.0,7.64,79.31,-0.521,explore,3.40,0.0,0.1662,26.87,35,0
35,7.0,7.07,15.53,0.818,explore,15.45,0.0,11.25,58.19,0.113,explore,22.72,0.0,8.21,79.11,-0.336,explore,3.71,0.0,0.1681,25.91,35,0
36,7.2,7.48,15.96,0.818,explore,15.33,0.0,11.75,58.25,0.113,explore,22.26,0.0,8.78,78.92,-0.336,explore,4.21,0.0,0.1699,24.95,35,0
37,7.4,7.90,16.39,0.790,explore,15.24,0.0,12.35,58.25,0.000,explore,21.80,0.0,9.25,78.75,-0.336,explore,4.72,0.0,0.1719,24.02,35,0
38,7.6000000000000005,8.33,16.82,0.790,explore,15.16,0.0,12.95,58.25,0.000,explore,21.36,0.0,9.67,78.33,-0.785,explore,5.32,0.0,0.1736,23.24,35,0
39,7.800000000000001,8.75,17.24,0.790,explore,15.10,0.0,13.55,58.25,0.000,explore,20.91,0.0,10.10,77.90,-0.785,explore,5.91,0.0,0.1756,22.50,35,0
40,8.0,9.17,17.67,0.790,explore,15.10,0.0,14.15,58.25,0.000,explore,20.91,0.0,10.52,77.48,-0.785,explore,5.91,0.0,0.1774,22.50,35,0
41,8.200000000000001,9.59,18.09,0.786,explore,14.66,0.0,14.75,58.25,0.000,explore,20.32,0.0,10.94,77.91,0.804,explore,5.75,0.0,0.1774,22.16,35,0
42,8.4,10.02,18.52,0.786,explore,14.23,0.0,15.32,58.44,0.322,explore,19.72,0.0,11.36,78.34,0.804,explore,5.62,0.0,0.1855,21.81,35,0
43,8.6,9.77,19.07,1.988,explore,13.81,0.0,15.71,57.98,-0.868,explore,19.22,0.0,11.75,78.75,0.804,explore,5.53,0.0,0.1883,21.46,35,0
44,8.8,9.53,19.61,1.988,explore,13.39,0.0,16.09,57.52,-0.868,explore,18.62,0.0,12.08,79.25,0.983,explore,5.38,0.0,0.1910,21.27,35,0
45,9.0,9.29,20.16,1.988,explore,12.99,0.0,16.48,57.07,-0.868,explore,18.02,0.0,12.42,79.75,0.983,explore,5.26,0.0,0.1944,21.08,35,0
46,9.200000000000001,8.87,20.59,2.341,explore,12.59,0.0,16.90,56.64,-0.799,explore,17.42,0.0,12.75,80.25,0.983,explore,5.19,0.0,0.1974,20.95,35,0
47,9.4,8.45,21.02,2.341,explore,12.04,0.0,17.32,56.21,-0.799,explore,16.82,0.0,12.94,80.82,1.249,explore,5.41,0.0,0.2003,20.57,35,0
